id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
251921745,2c145153-c612-43d5-b4cf-9a0bb1124636,2024-11-16 14:44:16-05:00,2024-11-16,2024-11-16 19:44:16 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-16 19:44:48 UTC,2024-11-17 12:58:56 UTC,research,,https://www.inaturalist.org/observations/251921745,https://static.inaturalist.org/photos/450860104/medium.jpeg,,"","",0,0,false,3,"Belfast Rd, Camden, ME, US",44.2358375201,-69.0589365923,4,,,,4,,,false,,,Tree Lungwort,Lobaria pulmonaria,Tree Lungwort,Fungi,48711
252739650,7378d7b4-ca28-4d23-a7f8-ddad0784322d,2024-11-23 12:25:10-05:00,2024-11-23,2024-11-23 17:25:10 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-23 17:27:32 UTC,2024-11-23 17:35:52 UTC,needs_id,,https://www.inaturalist.org/observations/252739650,https://static.inaturalist.org/photos/452476731/medium.jpeg,,"","",0,0,false,3,"Cutler Ln, Topsham, ME, US",43.961900035,-69.9287985173,351,,,,351,,open,false,,,"",Flammulina velutipes,Velvet Foot,Fungi,67594
252744131,331799a7-ba38-4f48-a2a9-112478c02b04,2024-11-23 12:38:55-05:00,2024-11-23,2024-11-23 17:38:55 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-23 18:00:36 UTC,2024-11-23 18:06:32 UTC,needs_id,,https://www.inaturalist.org/observations/252744131,https://static.inaturalist.org/photos/452484334/medium.jpeg,,"","",0,0,false,3,"Cathance Rd, Topsham, ME, US",43.960456294,-69.9316505437,5,,,,5,,,false,,,"",Trichaptum biforme,violet-toothed polypore,Fungi,125705
252746792,39dc0e20-bc0c-4df6-9d64-19367515003f,2024-11-23 13:18:27-05:00,2024-11-23,2024-11-23 18:18:27 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-23 18:20:55 UTC,2024-11-23 20:02:45 UTC,research,,https://www.inaturalist.org/observations/252746792,https://static.inaturalist.org/photos/452488998/medium.jpeg,,"","",0,0,false,3,"Topsham, ME, US",43.9574348275,-69.9343754166,4,,,,4,,,false,,,crowded parchment,Stereum complicatum,crowded parchment,Fungi,196842
252929443,656e12e8-48a5-4e87-b5d1-3a470bd4c53a,2024-11-24 15:31:55-05:00,2024-11-24,2024-11-24 20:31:55 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-24 20:35:43 UTC,2024-11-24 20:37:38 UTC,needs_id,,https://www.inaturalist.org/observations/252929443,https://static.inaturalist.org/photos/452818038/medium.jpeg,,"","",0,0,false,3,"Fox Islands Thouroughfare, Georgetown, ME, US",43.7922137278,-69.7522706073,6,,,,6,,,false,,,"",Pleurotus ostreatus,Oyster Mushroom,Fungi,48494
253304301,f80946c3-495a-4b7d-8ac8-220bf015c2e3,2024-11-27 12:05:58-05:00,2024-11-27,2024-11-27 17:05:58 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-11-27 17:10:58 UTC,2024-11-27 17:13:44 UTC,needs_id,,https://www.inaturalist.org/observations/253304301,https://static.inaturalist.org/photos/453526346/medium.jpeg,,"","",0,0,false,3,"Middle Rd, Edgecomb, ME, US",43.9796026983,-69.6163464804,234,,,,234,,,false,,,"",Daedaleopsis confragosa,Thin-walled Maze Polypore,Fungi,124102
255513937,7188eef3-8f5d-440f-ac2d-3ac138c7a8c9,2024-12-18 12:33:44-05:00,2024-12-18,2024-12-18 17:33:44 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-12-18 17:35:44 UTC,2024-12-23 23:24:32 UTC,research,,https://www.inaturalist.org/observations/255513937,https://static.inaturalist.org/photos/457905319/medium.jpg,,"","",0,0,false,3,"Middle Rd, Edgecomb, ME, US",43.9798541977,-69.6190493921,3,,,,3,,,false,,,Mossy Maze Polypore,Cerrena unicolor,Mossy Maze Polypore,Fungi,194476
255515510,b02122fd-968e-4735-b5e1-fde6988986a7,2024-12-18 12:54:39-05:00,2024-12-18,2024-12-18 17:54:39 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-12-18 17:57:41 UTC,2024-12-18 18:02:32 UTC,research,,https://www.inaturalist.org/observations/255515510,https://static.inaturalist.org/photos/457908899/medium.jpg,,"","",0,0,false,3,"Edgecomb, ME, US",43.9797192906,-69.6155931988,3,,,,3,,,false,,,turkey-tail,Trametes versicolor,turkey-tail,Fungi,54134
255516492,15b1edd2-b270-4707-acda-010d8d3be05b,2024-12-18 13:07:39-05:00,2024-12-18,2024-12-18 18:07:39 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-12-18 18:11:02 UTC,2024-12-19 02:41:53 UTC,research,,https://www.inaturalist.org/observations/255516492,https://static.inaturalist.org/photos/457910517/medium.jpg,,"","",1,0,false,3,"Edgecomb, ME, US",43.9804035934,-69.6152514968,6,,,,6,,,false,,,Toothed Jelly Fungus,Pseudohydnum gelatinosum,Toothed Jelly Fungus,Fungi,54164
256909255,04ae49bc-3e03-4836-9ee1-6a6b34bd81bf,2024-12-31 13:43:10-05:00,2024-12-31,2024-12-31 18:43:10 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-12-31 18:46:48 UTC,2024-12-31 18:47:45 UTC,needs_id,,https://www.inaturalist.org/observations/256909255,https://static.inaturalist.org/photos/460734242/medium.jpg,,"","",0,0,false,3,"McKay Rd, Edgecomb, ME, US",43.9415121475,-69.6145588674,6,,,,6,,,false,,,"",Dacrymyces chrysospermus,Orange Jelly Spot,Fungi,118028
256911322,62296a3c-3231-4af4-a4a6-f76cf19e755e,2024-12-31 13:48:53-05:00,2024-12-31,2024-12-31 18:48:53 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2024-12-31 19:07:54 UTC,2025-01-07 02:46:33 UTC,research,,https://www.inaturalist.org/observations/256911322,https://static.inaturalist.org/photos/460738552/medium.jpg,,"","",0,0,false,3,"McKay Rd, Edgecomb, ME, US",43.9419216405,-69.6142903097,6,,,,6,,,false,,,Northern Red Belt,Fomitopsis mounceae,Northern Red Belt,Fungi,877361
257151649,4ed1cf73-0a69-404d-8c89-00b1c3b52858,2025-01-02 14:02:56-05:00,2025-01-02,2025-01-02 19:02:56 UTC,Eastern Time (US & Canada),8511502,bmacleod,,2025-01-02 19:10:00 UTC,2025-01-02 19:13:22 UTC,needs_id,,https://www.inaturalist.org/observations/257151649,https://static.inaturalist.org/photos/461239027/medium.jpg,,"","",0,0,false,3,"Woodman Rd, New Gloucester, ME, US",43.9770946692,-70.2439108698,768,,,,768,,,false,,,"",Fomes excavatus,Tinder Polypore,Fungi,508778
